name,salary_from,salary_to,salary_currency,area_name,published_at
Стажёр 2D-художник персонажей,15000.0,30000.0,RUR,Санкт-Петербург,2022-12-26T02:19:59+0300
Главный специалист отдела информационных технологий и связи,,,,Барнаул,2022-12-26T04:07:10+0300
HTML-верстальщик (Новосибирск),40000.0,,RUR,Новосибирск,2022-12-26T05:22:33+0300
Дизайнер,,34500.0,KGS,Бишкек,2022-12-26T05:27:22+0300
Линейный механик,130000.0,190000.0,RUR,Хабаровск,2022-12-26T03:47:17+0300
Главный специалист (Пресс-служба),70000.0,,RUR,Омск,2022-12-26T05:22:17+0300
Руководитель службы эксплуатации ЦОД (релокация),180000.0,,RUR,Иркутск,2022-12-26T03:28:49+0300
Графический дизайнер,30000.0,35000.0,RUR,Кемерово,2022-12-26T05:48:18+0300
Сервисный инженер,150000.0,,RUR,Москва,2022-12-26T03:23:29+0300
Аналитик данных,,,,Владивосток,2022-12-26T01:49:29+0300
Инженер-механик,85000.0,,RUR,Красноярск,2022-12-26T05:28:53+0300
Дизайнер,,,,Новосибирск,2022-12-26T04:17:13+0300
Механик,,,,Магадан,2022-12-26T02:29:04+0300
Специалист технической поддержки информационных систем,,45000.0,RUR,Барнаул,2022-12-26T05:49:01+0300
Дизайнер - Менеджер стройки,100000.0,,RUR,Москва,2022-12-26T01:31:43+0300
Дизайнер,50000.0,55000.0,RUR,Владивосток,2022-12-26T03:10:43+0300
Специалист по проведению общих собраний собственников в сфере ЖКХ,50000.0,120000.0,RUR,Зеленоград,2022-12-26T00:55:32+0300
Junior project manager в web-студию,45000.0,70000.0,RUR,Москва,2022-12-26T05:07:13+0300
Инженер поддержки бизнес-приложений (стажер),,,,Москва,2022-12-26T02:27:09+0300
Дизайнер-иллюстратор,40000.0,,RUR,Красноярск,2022-12-26T04:52:19+0300
Системный администратор,75000.0,95000.0,RUR,Новосибирск,2022-12-26T05:59:27+0300
Специалист-аналитик,35000.0,35000.0,RUR,Красноярск,2022-12-26T05:47:22+0300
Продуктовый аналитик,80000.0,,RUR,Новосибирск,2022-12-26T05:33:13+0300
Системный администратор,,,,Новосибирск,2022-12-26T05:36:15+0300
Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000.0,300000.0,RUR,Москва,2022-12-26T02:03:01+0300
